cluster,kmeans_hit_pred,is_hit
1,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
1,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
1,0,1
1,0,1
1,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,1
1,0,1
0,0,1
