playlist_genre,n,hit_rate
r&b,50,1.0
gaming,133,0.7518796992481203
metal,49,0.7142857142857143
pop,515,0.6932038834951456
rock,345,0.6811594202898551
punk,74,0.6756756756756757
k-pop,17,0.6470588235294118
hip-hop,395,0.5746835443037974
blues,88,0.5113636363636364
folk,68,0.4852941176470588
j-pop,23,0.4782608695652174
latin,425,0.4329411764705882
country,11,0.2727272727272727
electronic,589,0.25127334465195245
afrobeats,82,0.24390243902439024
arabic,208,0.2403846153846154
korean,34,0.23529411764705882
indie,17,0.23529411764705882
reggae,24,0.20833333333333334
ambient,359,0.16991643454038996
indian,57,0.15789473684210525
turkish,71,0.09859154929577464
brazilian,148,0.0945945945945946
classical,121,0.08264462809917356
soul,44,0.045454545454545456
world,228,0.017543859649122806
jazz,146,0.00684931506849315
lofi,299,0.006688963210702341
gospel,39,0.0
cantopop,27,0.0
disco,9,0.0
funk,28,0.0
mandopop,14,0.0
soca,14,0.0
wellness,80,0.0
